Date,consumer_sentiment,unemployment_rate,gdp_yoy_growth,cpi_yoy,consumer_sentiment_zscore,unemployment_rate_zscore,gdp_yoy_growth_zscore,cpi_yoy_zscore,maximalism_score,minimalism_score,fashion_index,consumer_sentiment_zscore_lag-11,unemployment_rate_zscore_lag-6,gdp_yoy_growth_zscore_lag12,cpi_yoy_zscore_lag1
2005-01-01,95.5,5.3,,,1.2235116819254863,-0.2100169216025136,,,-0.8296435888522581,-0.8487076440311947,0.0190640551789366,0.9260227716375032,-0.3519050294948286,,
2005-02-01,94.1,5.4,,,1.119390563324692,-0.1627208856384082,,,-0.8174094092671768,-0.8487076440311947,0.0312982347640179,0.9037111033659048,-0.3992010654589336,,
2005-03-01,92.6,5.2,,,1.0078322219666982,-0.2573129575666185,,,-0.8051752296820954,-0.8487076440311947,0.0435324143490992,0.5690360792919238,-0.3519050294948286,,
2005-04-01,87.7,5.2,,,0.6434083068639196,-0.2573129575666185,,,-0.8051752296820954,-0.8487076440311947,0.0435324143490992,0.7326549799503147,-0.3519050294948286,,
2005-05-01,86.9,5.1,,,0.5839105248063232,-0.3046089935307238,,,-0.7807068705119329,-0.8487076440311947,0.0680007735192618,0.6210966385923211,-0.3519050294948286,,
2005-06-01,96.0,5.0,,,1.2606977957114842,-0.3519050294948286,,,-0.7929410500970141,-0.8487076440311947,0.0557665939341806,0.0038071497447554,-0.3992010654589336,,
2005-07-01,96.5,5.0,,,1.297883909497482,-0.3519050294948286,,,-0.7807068705119329,-0.8487076440311947,0.0680007735192618,0.4351660696623317,-0.4937931373871437,,
2005-08-01,89.1,4.9,,,0.747529425464713,-0.3992010654589336,,,-0.7807068705119329,-0.8487076440311947,0.0680007735192618,0.4202916241479323,-0.4464971014230389,,
2005-09-01,76.9,5.0,,,-0.1598117509136344,-0.3519050294948286,,,-0.7929410500970141,-0.8487076440311947,0.0557665939341806,0.2194866097035435,-0.4937931373871437,,
2005-10-01,74.2,5.0,,,-0.3606167653580232,-0.3519050294948286,,,-0.7317701521716076,-0.8487076440311947,0.1169374918595871,0.4723521834483296,-0.4937931373871437,,
2005-11-01,81.6,5.0,,,0.1897377186747448,-0.3519050294948286,,,-0.8296435888522581,-0.8487076440311947,0.0190640551789366,1.082204449538694,-0.5410891733512491,,
2005-12-01,91.5,4.9,,,0.9260227716375032,-0.3992010654589336,,,-0.8174094092671768,-0.8487076440311947,0.0312982347640179,0.9706461081807004,-0.5410891733512491,,
2006-01-01,91.2,4.7,6.515668247738793,4.018789144050117,0.9037111033659048,-0.4937931373871437,0.6777688197615204,0.7625908766970273,-0.8296435888522581,-0.8487076440311947,0.0190640551789366,0.9408972171519028,-0.4937931373871437,,
2006-02-01,86.7,4.8,6.486468551503499,3.63825363825363,0.5690360792919238,-0.4464971014230389,0.6683145026315689,0.5646264378358571,0.6299152772491408,-0.8487076440311947,1.4786229212803357,1.3276328005262807,-0.4937931373871437,,0.7625908766970273
2006-03-01,88.9,4.7,6.457503843693724,3.4179181771103018,0.7326549799503147,-0.4937931373871437,0.6589362703717756,0.4500022168051295,-0.8418777684373394,-0.8487076440311947,0.0068298755938552,0.911148326123104,-0.588385209315354,,0.5646264378358571
2006-04-01,87.4,4.7,6.428771299027081,3.613835828600931,0.6210966385923211,-0.4937931373871437,0.6496332082083892,0.5519236600070238,-0.8051752296820954,-0.8487076440311947,0.0435324143490992,0.6954688661643168,-0.6356812452794589,,0.4500022168051295
2006-05-01,79.1,4.6,6.127743969329602,3.9772727272727297,0.0038071497447554,-0.5410891733512491,0.5521661723594877,0.7409929600094386,-0.8541119480224207,-0.8487076440311947,-0.005404303991226,0.5987849703207215,-0.588385209315354,,0.5519236600070238
