Date,consumer_sentiment,cpi_inflation,unemployment_rate,gdp_growth,gdp_yoy_growth,cpi_yoy,consumer_sentiment_zscore,unemployment_rate_zscore,gdp_yoy_growth_zscore,cpi_yoy_zscore
2005-01-01,95.5,191.6,5.3,12767.286,,,1.2235116819254863,-0.2100169216025136,,
2005-02-01,94.1,192.4,5.4,12819.076000000001,,,1.119390563324692,-0.16272088563840828,,
2005-03-01,92.6,193.1,5.2,12870.866,,,1.0078322219666982,-0.2573129575666185,,
2005-04-01,87.7,193.7,5.2,12922.656,,,0.6434083068639196,-0.2573129575666185,,
2005-05-01,86.9,193.6,5.1,12995.984666666667,,,0.5839105248063232,-0.3046089935307238,,
2005-06-01,96.0,193.7,5.0,13069.313333333334,,,1.2606977957114842,-0.35190502949482866,,
2005-07-01,96.5,194.9,5.0,13142.642,,,1.2978839094974821,-0.35190502949482866,,
2005-08-01,89.1,196.1,4.9,13203.162666666667,,,0.747529425464713,-0.3992010654589336,,
2005-09-01,76.9,198.8,5.0,13263.683333333332,,,-0.1598117509136344,-0.35190502949482866,,
2005-10-01,74.2,199.1,5.0,13324.204,,,-0.3606167653580232,-0.35190502949482866,,
2005-11-01,81.6,198.1,5.0,13415.856,,,0.18973771867474482,-0.35190502949482866,,
2005-12-01,91.5,198.1,4.9,13507.508,,,0.9260227716375032,-0.3992010654589336,,
2006-01-01,91.2,199.3,4.7,13599.16,6.515668247738793,4.018789144050117,0.9037111033659048,-0.49379313738714375,0.6777688197615204,0.7625908766970273
2006-02-01,86.7,199.4,4.8,13650.581333333334,6.486468551503499,3.63825363825363,0.5690360792919238,-0.4464971014230389,0.6683145026315689,0.5646264378358571
2006-03-01,88.9,199.7,4.7,13702.002666666667,6.457503843693724,3.4179181771103018,0.7326549799503147,-0.49379313738714375,0.6589362703717756,0.45000221680512953
2006-04-01,87.4,200.7,4.7,13753.424,6.428771299027081,3.613835828600931,0.6210966385923211,-0.49379313738714375,0.6496332082083892,0.5519236600070238
2006-05-01,79.1,201.3,4.6,13792.345333333335,6.127743969329602,3.9772727272727293,0.003807149744755426,-0.5410891733512491,0.5521661723594877,0.7409929600094386
2006-06-01,84.9,201.8,4.6,13831.266666666666,5.830094618590009,4.1817243159525175,0.4351660696623317,-0.5410891733512491,0.45579286310516476,0.8473539786548707
2006-07-01,84.7,202.9,4.7,13870.188,5.5357667050506265,4.104669061056954,0.4202916241479323,-0.49379313738714375,0.3604949732786661,0.8072678367197662
2006-08-01,82.0,203.8,4.7,13926.645333333334,5.4796163989799584,3.926568077511483,0.21948660970354356,-0.49379313738714375,0.3423145512544713,0.7146150862375086
2006-09-01,85.4,202.8,4.5,13983.102666666666,5.423978507729754,2.012072434607637,0.4723521834483296,-0.588385209315354,0.32430003959371706,-0.2813551974193039
2006-10-01,93.6,201.9,4.4,14039.56,5.368846048889675,1.4063284781516971,1.082204449538694,-0.6356812452794589,0.3064491775221425,-0.5964789128328064
2006-11-01,92.1,202.0,4.5,14098.257,5.086525973445144,1.9687026754164672,0.9706461081807003,-0.588385209315354,0.21503920175060662,-0.3039172708948226
2006-12-01,91.7,203.1,4.4,14156.954,4.808037130164933,2.5239777889954462,0.9408972171519027,-0.6356812452794589,0.12486970750970278,-0.015048756396667471
2007-01-01,96.9,203.437,4.6,14215.651,4.533302056891753,2.075765178123423,1.3276328005262807,-0.5410891733512491,0.035915613997402285,-0.24822058044515377
2007-02-01,91.3,204.226,4.5,14277.794666666667,4.5947737903421215,2.420260782347028,0.9111483261231039,-0.588385209315354,0.055819014974059215,-0.06900503303513501
2007-03-01,88.4,205.288,4.4,14339.938333333334,4.6557841374428754,2.798197295943927,0.6954688661643168,-0.6356812452794589,0.07557302765456606,0.1276073426819695
2007-04-01,87.1,205.904,4.5,14402.082,4.716338273291076,2.5929247633283525,0.5987849703207215,-0.588385209315354,0.09517932763884712,0.020819247710914875
2007-05-01,88.3,206.755,4.4,14456.093666666668,4.8124399244063865,2.709885742672613,0.6880316434071166,-0.6356812452794589,0.1262952501825171,0.08166538241279069
2007-06-01,85.3,207.234,4.6,14510.105333333333,4.908000713359595,2.692765113974227,0.46491496069112936,-0.5410891733512491,0.15723605164400545,0.07275878736029365
2007-07-01,90.4,207.603,4.7,14564.117,5.003025193313881,2.3178905864958077,0.8442133213083084,-0.49379313738714375,0.18800320625264308,-0.1222606637689282
2007-08-01,83.4,207.667,4.6,14614.430666666667,4.938628915084986,1.897448478900876,0.32360772830433804,-0.5410891733512491,0.16715289221311969,-0.34098555181696194
2007-09-01,83.4,208.547,4.7,14664.744333333334,4.874752641926783,2.8338264299802685,0.32360772830433804,-0.49379313738714375,0.14647094611851907,0.14614254220783418
2007-10-01,80.9,209.19,4.7,14715.058,4.811390100544477,3.610698365527476,0.13767715937434863,-0.49379313738714375,0.12595533679297008,0.5502914703497561
2007-11-01,76.1,210.834,4.7,14712.218,4.354871669597182,4.373267326732666,-0.21930953297123185,-0.49379313738714375,-0.021856818068651827,0.9469996203079533
2007-12-01,75.5,211.445,5.0,14709.378,3.9021388357975972,4.108813392417532,-0.2639328695144289,-0.35190502949482866,-0.16844326716702587,0.8094238253719537
2008-01-01,78.4,212.174,5.0,14706.538,3.453144706492872,4.294695655165981,-0.04825340955564076,-0.35190502949482866,-0.31381919346869847,0.9061245990940284
2008-02-01,70.8,212.687,4.9,14759.592333333334,3.3744543741862643,4.142959270611968,-0.6134823391028091,-0.3992010654589336,-0.33929765566546277,0.8271873967423438
2008-03-01,69.5,213.448,5.1,14812.646666666666,3.2964460679340446,3.9749035501344343,-0.7101662349464034,-0.3046089935307238,-0.36455529054412367,0.7397604526202435
2008-04-01,62.6,213.942,5.0,14865.701,3.2191109590960387,3.9037609759888126,-1.2233346051931742,-0.35190502949482866,-0.38959495665373456,0.7027502405497585
2008-05-01,59.8,215.208,5.4,14876.800333333333,2.9102375535705383,4.088413823123993,-1.4315768423947626,-0.16272088563840828,-0.48960240554344375,0.7988114403863467
2008-06-01,56.4,217.463,5.6,14887.899666666666,2.6036636168687677,4.935966105947864,-1.684442416139548,-0.06812881371019851,-0.5888653293081381,1.2397301181942053
2008-07-01,61.2,219.016,5.8,14898.999,2.299363565947732,5.497512078341837,-1.3274557237939681,0.0264632582180117,-0.6873920112600711,1.5318608960753517
2008-08-01,63.0,218.69,6.1,14802.069,1.2839250300821226,5.308017162091239,-1.193585714164376,0.16835136611032678,-1.0161720734458943,1.4332807263114908
2008-09-01,70.3,218.877,6.1,14705.139000000001,0.2754542851105102,4.953319875136075,-0.650668452888807,0.16835136611032678,-1.3426960948744373,1.2487579989757367
2008-10-01,57.6,216.995,6.5,14608.209,-0.7261201416943086,3.7310578899565128,-1.595195743053153,0.3575355099667472,-1.6669872170819564,0.6129056163420473
2008-11-01,55.3,213.153,6.8,14549.106666666667,-1.1086794209638096,1.0999174706166848,-1.7662518664687434,0.4994236178590623,-1.7908527778081613,-0.7558818653656909
2008-12-01,60.1,211.398,7.3,14490.004333333334,-1.4913864248146114,-0.02222800255385904,-1.4092651741231634,0.7359037976795876,-1.9147661689990485,-1.33965104204697
2009-01-01,61.2,211.933,7.8,14430.902,-1.8742412388286112,-0.11358601902212717,-1.3274557237939681,0.9723839775001129,-2.0387274183644397,-1.387177851477685
2009-02-01,56.3,212.705,8.3,14414.346666666666,-2.339127388274531,0.008463140671510772,-1.6918796388967476,1.2088641573206387,-2.1892488844361058,-1.3236847134020224
