Date,maximalism_score,minimalism_score,fashion_index
2005-01-01,-0.8296435888522581,-0.8487076440311947,0.019064055178936612
2005-02-01,-0.8174094092671768,-0.8487076440311947,0.03129823476401794
2005-03-01,-0.8051752296820954,-0.8487076440311947,0.04353241434909927
2005-04-01,-0.8051752296820954,-0.8487076440311947,0.04353241434909927
2005-05-01,-0.7807068705119329,-0.8487076440311947,0.06800077351926181
2005-06-01,-0.7929410500970141,-0.8487076440311947,0.0557665939341806
2005-07-01,-0.7807068705119329,-0.8487076440311947,0.06800077351926181
2005-08-01,-0.7807068705119329,-0.8487076440311947,0.06800077351926181
2005-09-01,-0.7929410500970141,-0.8487076440311947,0.0557665939341806
2005-10-01,-0.7317701521716076,-0.8487076440311947,0.11693749185958713
2005-11-01,-0.8296435888522581,-0.8487076440311947,0.019064055178936612
2005-12-01,-0.8174094092671768,-0.8487076440311947,0.03129823476401794
2006-01-01,-0.8296435888522581,-0.8487076440311947,0.019064055178936612
2006-02-01,0.6299152772491408,-0.8487076440311947,1.4786229212803355
2006-03-01,-0.8418777684373394,-0.8487076440311947,0.0068298755938552835
2006-04-01,-0.8051752296820954,-0.8487076440311947,0.04353241434909927
2006-05-01,-0.8541119480224207,-0.8487076440311947,-0.005404303991226045
2006-06-01,-0.8174094092671768,-0.7858977587163961,-0.031511650550780645
2006-07-01,-0.8051752296820954,-0.8487076440311947,0.04353241434909927
2006-08-01,-0.8051752296820954,-0.8487076440311947,0.04353241434909927
2006-09-01,-0.8174094092671768,-0.8487076440311947,0.03129823476401794
2006-10-01,-0.7807068705119329,-0.8487076440311947,0.06800077351926181
2006-11-01,-0.8174094092671768,-0.8487076440311947,0.03129823476401794
2006-12-01,-0.8051752296820954,-0.8487076440311947,0.04353241434909927
2007-01-01,-0.8663461276075021,-0.8487076440311947,-0.017638483576307373
2007-02-01,-0.8785803071925834,-0.8487076440311947,-0.0298726631613887
2007-03-01,-0.8785803071925834,-0.8487076440311947,-0.0298726631613887
2007-04-01,-0.8418777684373394,-0.8487076440311947,0.0068298755938552835
2007-05-01,-0.8663461276075021,-0.8487076440311947,-0.017638483576307373
2007-06-01,-0.8174094092671768,-0.8487076440311947,0.03129823476401794
2007-07-01,-0.8541119480224207,-0.8487076440311947,-0.005404303991226045
2007-08-01,-0.8296435888522581,-0.8487076440311947,0.019064055178936612
2007-09-01,-0.7562385113417702,-0.8487076440311947,0.09246913268942447
2007-10-01,-0.7929410500970141,-0.8487076440311947,0.0557665939341806
2007-11-01,-0.5625560072788598,-0.8487076440311947,0.2861516367523349
2007-12-01,-0.8418777684373394,-0.8487076440311947,0.0068298755938552835
2008-01-01,-0.8541119480224207,-0.839482917002502,-0.014629031019918748
2008-02-01,-0.8541119480224207,-0.8487076440311947,-0.005404303991226045
2008-03-01,-0.6450868841823698,-0.8487076440311947,0.20362075984882488
2008-04-01,-0.6683118912757088,-0.8487076440311947,0.18039575275548592
2008-05-01,-0.8418777684373394,-0.8487076440311947,0.0068298755938552835
2008-06-01,-0.8418777684373394,-0.8487076440311947,0.0068298755938552835
2008-07-01,-0.8418777684373394,-0.839482917002502,-0.0023948514348374195
2008-08-01,-0.6090060214655377,-0.8487076440311947,0.23970162256565697
2008-09-01,-0.548456799578543,-0.839482917002502,0.291026117423959
2008-10-01,-0.5729251587487056,-0.8487076440311947,0.27578248528248905
2008-11-01,-0.8418777684373394,-0.8487076440311947,0.0068298755938552835
2008-12-01,-0.8418777684373394,-0.8487076440311947,0.0068298755938552835
2009-01-01,-0.598636869995692,-0.8487076440311947,0.2500707740355027
2009-02-01,-0.8663461276075021,-0.8487076440311947,-0.017638483576307373
2009-03-01,-0.5631776833172715,-0.839482917002502,0.2763052336852305
2009-04-01,-0.8296435888522581,-0.839482917002502,0.009839328150243909
2009-05-01,-0.08828927769329091,-0.8123125084552953,0.7240232307620045
2009-06-01,-0.6322310285588767,-0.8302581899738092,0.19802716141493248
2009-07-01,-0.5741685108255293,-0.8035915539654741,0.22942304313994477
2009-08-01,-0.607762669388714,-0.839482917002502,0.23172024761378796
2009-09-01,-0.5613126552020361,-0.839482917002502,0.2781702618004659
2009-10-01,-0.3535282882098715,-0.839482917002502,0.4859546287926305
2009-11-01,-0.7929410500970141,-0.839482917002502,0.046541866905487894
2009-12-01,-0.5666641929039857,-0.8487076440311947,0.28204345112720897
2010-01-01,-0.6450868841823698,-0.839482917002502,0.19439603282013218
2010-02-01,-0.4947460141140783,-0.839482917002502,0.3447369028884237
2010-03-01,0.5168204178158378,-0.839482917002502,1.3563033348183398
2010-04-01,0.012440012688679137,-0.839482917002502,0.8519229296911811
2010-05-01,-0.8296435888522581,-0.839482917002502,0.009839328150243909
